epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2667.59,1.44974,3.27755,1.09449,0.61677,0.77151,0.74706,0.49444,1.20245,1.72352,1.0058,0.00999246,0.00333082,0.00999246,0.00333082,0.00999246,0.00333082,0.00999246,0.00333082
2,5364.17,1.34246,1.58796,1.07993,0.96043,0.96557,0.99087,0.66908,1.18658,0.97252,1.01887,0.0195966,0.0065322,0.0195966,0.0065322,0.0195966,0.0065322,0.0195966,0.0065322
3,8085.06,1.32524,1.21234,1.09464,0.97405,0.97647,0.99295,0.69173,1.1215,0.79909,1.02561,0.0288048,0.00960159,0.0288048,0.00960159,0.0288048,0.00960159,0.0288048,0.00960159
4,10637.8,1.2976,0.96648,1.10279,0.98617,0.98756,0.994,0.67876,1.18411,0.55665,1.03847,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,13316.2,1.26912,0.80273,1.0912,0.99377,0.9956,0.99492,0.71027,1.08559,0.47435,1.00319,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,16015.1,1.24777,0.72859,1.08038,0.99598,0.99763,0.99497,0.75478,0.94431,0.41176,0.95917,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,18654.5,1.22793,0.68093,1.06816,0.99647,0.99786,0.99481,0.75167,0.95369,0.39708,0.96206,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,21226.6,1.21706,0.65518,1.06478,0.99704,0.99867,0.99486,0.77337,0.88797,0.3813,0.94088,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,23815,1.21125,0.63621,1.05906,0.99844,0.99884,0.99499,0.76045,0.92832,0.36199,0.94448,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,26384.2,1.20506,0.62031,1.05195,0.99821,0.99902,0.99499,0.76654,0.92195,0.35961,0.94564,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
